List configuration,Time (in Seconds),Data Comparisons (count),Data Swaps (count)
Ascending Sorted N = 100,0.0003451000000040949,100,0
Ascending Sorted N = 1000,0.006741099999999278,1000,0
Ascending Sorted N = 10000,0.19321280000000485,10000,0
Ascending Sorted N = 100000,1.7088031999999984,100000,0
Descending Sorted N = 100,0.00037129999999763186,103210,2550
Descending Sorted N = 1000,0.008117699999999672,10512500,25300
Descending Sorted N = 10000,0.1663621999999947,105125000,78000
Descending Sorted N = 100000 ,1.713321399999998,104250000,120000
Randomly Sorted N = 100 ,0.0009328000000010661,12105130,751
Randomly Sorted N = 1000 ,0.007358899999999835,21541000,4504
Randomly Sorted N = 10000 ,0.0988086999999993,536310000,55570
Randomly Sorted N = 100000 ,1.5956384999999997,124523000,137370
