List configuration,Time (in Seconds),Data Comparisons (count),Data Swaps (count)
Ascending Sorted N = 100,0.0017699999999996052,100,0
Ascending Sorted N = 1000,0.055871000000000226,1000,0
Ascending Sorted N = 10000,6.8213983,10000,0
Ascending Sorted N = 100000,20.0001230212032,100000,0
Descending Sorted N = 100,0.0012732999999993666,100,2500
Descending Sorted N = 1000,0.0617612999999988,1000,250000
Descending Sorted N = 10000,11.6850655,10000,25000000
Descending Sorted N = 100000 ,22.202301233,100000,2500000000
Randomly Sorted N = 100 ,0.0005404999999996107,100,545
Randomly Sorted N = 1000 ,0.057280200000001,1000,6304
Randomly Sorted N = 10000 ,19.482483600000002,10000,83570
Randomly Sorted N = 100000 ,22.420412031,1000000,193120
